Brand,Name,Flavours,Country,Calories,Total Carbohydrates,Type of Carbohydrates,Glucose,Fructose,GCD,Carb ratio,Sodium,Potassium ,Chloride,Magnesium ,Caffeine,Serving Size,,Protein
Mag-On,Mag-on Energy Gel,Grapefruit ,,120,30,"Glucose, Fructose ",,,,,0,0,0,50,0,41 g ,,
Mag-On,Mag-on Energy Gel,Ume ,,120,30,"Glucose, Fructose ",,,,,0,0,0,50,0,41 g,,
Mag-On,Mag-On Gelee,Banana ,,120,30,"Glucose, Fructose ",,,,,0,180,0,50,0,41 g ,,
Mag-On,Mag-On Gelee,Peach ,,120,30,"Glucose, Fructose ",,,,,0,180,0,50,0,41 g ,,
Maurten ,Maurten Gel 100,Gel 100,Sweden,100,25,"Glucose, Fructose ",1,0.8,1,1:0.8,0,20,0,0,100,40 g ,,
Maurten ,Maurten Gel 100 Caf,Caf Gel 100 ,,100,25,"Glucose, Fructose ",1,0.8,1,1:0.8,0,22,0,0,0,40 g,,
Maurten ,Maurten Gel 160,Gel 160 ,,160,40,"Glucose, Fructose ",1,0.8,1,1:0.8,0,30,0,0,0,65 g ,,
Maxim ,Maxim Energy Gel,Strawberry,Netherlands,83,21,"Maltodextrin, Fructose ",2,1,1,2:1,0,0,0,0,0,33 g,,
Maxim ,Maxim Energy Gel,Citrus ,,250,63,"Maltodextrin, Fructose ",2,1,1,2:1,0,0,0,0,0,100 g,,
Maxim ,Maxim Energy Gel,Orange + Caffeine ,,250,63,"Maltodextrin, Fructose ",2,1,1,2:1,0,0,0,0,0,100 g,,
Muir Energy ,Muir Energy Fast Burning Gel,"Red Raspberry Mate + Caffeine, Fast burning ",USA,110,18,"Fructose, Glucose",,,,,100,288,0,0,90,30 g,,0
Muir Energy ,Muir Energy Fast Burning Gel,"Red Raspberry, fast burning ",,110,18,"Fructose, Glucose",,,,,110,288,0,0,0,30 g,,
Muir Energy ,Muir Energy Fast Burning Gel,"Strawberry, Fast burning ",,100,23,"Fructose, Glucose",,,,,100,0,0,0,0,31 g,,1
Muir Energy ,Muir Energy Slow Burning Gel,"Cashew Lemon, Slow burning ",,145,12,"Fructose, Glucose",,,,,100,375,0,0,0,30 g,,3
Muir Energy ,Muir Energy Slow Burning Gel,"Cashew Lemon Mate + Caffeine, Slow burning ",,150,12,"Fructose, Glucose",,,,,100,0,0,0,90,30 g ,,3
Muir Energy ,Muir Energy Slow Burning Gel,"Cacao Almond Mate + Caffeine, Slow burning ",,150,12,"Fructose, Glucose",,,,,100,385,0,0,0,30 g ,,5
Muir Energy ,Muir Energy Slow Burning Gel,"Cacao Almond, Slow burning ",,150,12,"Fructose, Glucose",,,,,100,385,0,0,0,30 g,,5
Muir Energy ,Muir Energy Slow Burning Gel,"Cashew Vanilla Mate + Caffeine, Slow burning ",,145,12,"Fructose, Glucose",,,,,100,375,0,0,90,30 g,,3
Muir Energy ,Muir Energy Fast Burning Gel,"Blueberry Bergamont, fast burning ",,106,19,"Fructose, Glucose",,,,,100,319,0,0,0,30 g,,0
Muir Energy ,Muir Energy Fast Burning Gel,"Passionfruit Pineapple Banana, Fast burning ",,105,21,"Fructose, Glucose",,,,,100,463,0,0,0,30 g,,0
OTE Sports,OTE Sports Gel,Lemon and Lime ,UK,82,20.5,"Maltodextrin, Fructose ",,,,,11.2,0,0,0.79,0,56 g,,
OTE Sports,OTE Sports Gel,Blackcurrant ,,82,20.5,"Maltodextrin, Fructose ",,,,,11.2,0,0,0.79,0,56 g ,,
OTE Sports,OTE Sports Gel,Orange ,,82,20.5,"Maltodextrin, Fructose ",,,,,11.2,0,0,0.79,0,56 g,,
OTE Sports,OTE Sports Gel,Apple ,,84,20.5,"Maltodextrin, Fructose ",,,,,11.2,0,0,0.78,0,56 g ,,
OTE Sports,OTE Sports Gel,Blackcurrant + Caffeine ,,81,20.3,"Maltodextrin, Fructose ",,,,,11.2,0,0,0.79,100,56 g,,
OTE Sports,OTE Sports Super Gel,Berry ,,160,39.9,"Maltodextrin, Fructose ",,,,,10.9,0,0,0.8,0,66 g ,,
OTE Sports,OTE Sports Super Gel,Cherry,,160,40,"Maltodextrin, Fructose ",,,,,10.9,0,0,0.8,0,66 g ,,
OTE Sports,OTE Sports Super Gel,Tropical ,,160,40,"Maltodextrin, Fructose ",,,,,10.9,0,0,0.8,0,66 g ,,
PowerBar,PowerBar,Tropical Fruit ,USA,104,26,"Maltodextrin, Fructose ",2,1,1,2:1,210,0,0,0,0,41 g ,,
PowerBar,PowerBar,Espresso + Caffeine ,,121,28,"Maltodextrin, Fructose ",2,1,1,2:1,101,0,0,0,53,41 g ,,
PowerBar,PowerBar,Blackcurrant + Caffeine ,,103,26,"Maltodextrin, Fructose ",2,1,1,2:1,208,0,0,0,50,41 g ,,
PowerBar,PowerBar,Lemon Lime ,,103,26,"Maltodextrin, Fructose ",2,1,1,2:1,206,0,0,0,0,41 g ,,
PowerBar,PowerBar,Green Apple + Caffeine ,,100,26,"Maltodextrin, Fructose ",2,1,1,2:1,205,0,0,0,50,41 g ,,
PowerBar,PowerBar,Salty Peanut ,,103,26,"Maltodextrin, Fructose, Glucose ",2,1,1,2:1,206,0,0,0,0,41 g ,,
PowerBar,PowerBar,Vanilla ,,103,26,"Maltodextrin, Fructose ",2,1,1,2:1,206,0,0,0,0,41 g ,,
PowerBar,PowerBar,Strawberry Banana ,,104,26,"Maltodextrin, Fructose ",2,1,1,2:1,206,0,0,0,0,41 g ,,
PowerBar,Powerbar Powergel Hydro,Orange,,103,25,"Maltodextrin, Fructose ",2,1,1,2:1,213,0,0,0,0,67 mL,,
PowerBar,Powerbar Powergel Hydro,Cherry + Caffeine,,103,25,"Maltodextrin, Fructose ",2,1,1,2:1,204,0,0,0,51,67 mL,,
PowerBar,Powerbar Powergel Hydro,Mojito + Caffeine ,,108,26,"Maltodextrin, Fructose ",2,1,1,2:1,205,0,0,0,51,67 mL,,
PowerBar,Powerbar Powergel Hydro,Cola + Caffeine,,103,25,"Maltodextrin, Fructose ",2,1,1,2:1,204,0,0,0,100,67 mL,,
PowerBar,Powerbar Fuel Gel 30 ,Lemon ,,122,30,"Maltodextrin, Fructose ",2,1,1,2:1,202,0,0,0,0,50 mL,,
PowerBar,Powerbar Fuel Gel 30 ,Lemon + Caffeine ,,121,30,"Maltodextrin, Fructose ",2,1,1,2:1,202,0,0,0,100,50 mL,,
Precision Fuel and Hydration ,Precision Fuel and Hydration ,PF 30 Gel ,UK,120,30,"Maltodextrin, Fructose ",2,1,1,2:1,0,0,0,0,0,51 g ,,
Precision Fuel and Hydration ,Precision Fuel and Hydration ,PF 30 Gel + Caffeine ,,120,30,"Maltodextrin, Fructose ",2,1,1,2:1,0,0,0,0,100,51 g ,,
Precision Fuel and Hydration ,Precision Fuel and Hydration ,PF 90 Gel ,,360,90,"Maltodextrin, Fructose ",2,1,1,2:1,0,0,0,0,0,153 g,,
Santa Madre,Santa Madre,Lemon,UK,125,30,"Maltodextrin, Glucose, Fructose",1,0.5,1,1:0.5,100,0,0,0,0,30 g ,,
Santa Madre,Santa Madre,Raspberry,,125,30,"Maltodextrin, Glucose, Fructose",1,0.5,1,1:0.5,100,0,0,0,0,30 g,,
Santa Madre,Santa Madre,Strawberry,,125,30,"Maltodextrin, Glucose, Fructose",1,0.5,1,1:0.5,100,0,0,0,0,30 g ,,
Santa Madre,Santa Madre,Neutral ,,125,30,"Maltodextrin, Glucose, Fructose",1,0.5,1,1:0.5,100,0,0,0,0,30 g ,,
Santa Madre,Santa Madre,Cola + Caffeine ,,126,30,"Maltodextrin, Glucose, Fructose",1,0.5,1,1:0.5,100,0,0,0,100,30 g,,
Santa Madre,Santa Madre,Orange + Caffeine ,,126,30,"Maltodextrin, Glucose, Fructose",1,0.5,1,1:0.5,100,0,0,0,100,30 g,,
Santa Madre,Santa Madre,Strawberry + Caffeine ,,126,30,"Maltodextrin, Glucose, Fructose",1,0.5,1,1:0.5,100,0,0,0,100,30 g,,
Santa Madre,Santa Madre Unusual gel 60 ,Lemon ,,241,60,"Fructose, Maltodextrin, Glucose, Isomaltulose ",1,0.8,1,1:0.8,200,0,0,23,0,100 g,,
Santa Madre,Santa Madre Unusual gel 45,Neutral ,,181,45,"Fructose, Maltodextrin, Glucose ",1,1,1,1:1,200,0,0,0,100,80 g,,
Santa Madre,Santa Madre Unusual gel 45,Neutral + Caffeine ,,181,45,"Fructose, Maltodextrin, Glucose ",1,1,1,1:1,200,0,0,0,100,80 g ,,
Santa Madre,Science in Sport (SiS) Beta Fuel ,Orange,UK,158,40,"Maltodextrin, Fructose ",1,0.8,1,1:0.8,30,0,0,0,0,60 mL,,
Santa Madre,Science in Sport (SiS) Beta Fuel ,Strawberry Lime,,158,40,"Maltodextrin, Fructose ",1,0.8,1,1:0.8,30,0,0,0,0,60 mL,,
Santa Madre,Science in Sport (SiS) Beta Fuel ,Neutral ,,160,40,"Maltodextrin, Fructose ",1,0.8,1,1:0.8,15,10,0,0,0,60 mL,,
